Peak_Number,Time,Height,Start_Time,End_Time,SNR
1,0.074993,0.259313,0.06700484232893911,0.08215869894351463,23.581535977819414
2,0.349993,0.254838,0.3400172936296296,0.3742417562669683,23.174586177767964
3,0.678326,0.241422,0.6450724412133891,0.7699762677296624,21.954555224138854
4,0.966659,0.22314,0.9267606720092652,0.9730719265124934,20.29201751586162
5,1.164993,0.26075,1.0923260332555969,1.377936751225641,23.7122146063499
6,1.334993,0.229995,1.3268074142146258,1.3477710808453394,20.915400952588477
7,1.529993,223723.167477,1.5140294921095145,1.5378458083846278,20345049.89310445
8,1.734993,2.368116,1.727672844387452,1.7424057436656117,215.35292350807634
9,1.928326,1.01318,1.9204666508280388,1.937559569051926,92.13707227176066
10,2.109993,1.84924,2.0993850898169475,2.1197854651323755,168.1671169267363
11,2.336659,0.178901,2.3007558580845773,2.345273651966851,16.26898909028036
12,5.706659,0.237036,5.667578311207046,5.731029373902439,21.555698950837026
13,6.481659,0.153187,6.3332927426093635,6.904171323843761,13.930596429157898
14,7.459993,0.112567,7.320483903369357,7.477105443869096,10.236674445227187
15,7.661659,0.866525,7.647514830772834,7.700796375930789,78.80048614292367
16,7.829993,0.186589,7.825168741061453,7.833417553649434,16.968124299843613
17,7.999993,3.836549,7.984237314241773,8.013059114610032,348.8900219972277
18,8.283326,0.219045,8.27843950843479,8.2928101457635,19.919624346875988
19,8.456659,0.302343,8.440642676566284,8.517183786023294,27.494619753509674
20,8.668326,0.423152,8.637183458136132,8.683093224654082,38.48080933885397
21,8.931659,2.423138,8.91795975698027,8.95225483992683,220.35654180940165
22,9.101659,0.91976,9.087133263279581,9.147357637860871,83.64159733973686
23,9.271659,4468.974096,9.232949781218268,9.281339707034242,406401.8133636454
24,9.479993,13.853629,9.463261157350365,9.49620424848846,1259.8282796730684
25,9.676659,1.305997,9.659707693571743,9.694815366351433,118.76541184755189
26,9.854993,0.604038,9.85037584490599,9.857640493344759,54.930311357201845
27,10.038326,0.688197,10.004142405797799,10.09059978764232,62.58360481475046
28,10.206659,0.575474,10.206563172460937,10.20824265,52.33274396308573
29,10.378326,0.600592,10.314622471363636,10.413566219785432,54.61693727653653
30,10.629993,0.577384,10.56500123416295,10.70141543962264,52.506436503442885
31,10.823326,0.558213,10.8183524284855,10.828400497655172,50.76305446617218
32,11.118326,0.574763,11.055356671624713,11.166403146253147,52.26808668759152
33,11.356659,0.579181,11.255121423564123,11.51960130306343,52.66985299298309
34,11.589993,0.545082,11.520767709868814,11.675315766799205,49.56894098584244
35,11.874993,0.557632,11.677148083304349,11.879644704282178,50.7102191960426
36,12.044993,0.544716,12.000733018201755,12.109577697892371,49.53565749381588
37,12.234993,0.546811,12.113913090685566,12.289925444233742,49.726173657191936
38,12.493326,0.550898,12.112420384619712,12.511051372302157,50.097839318155124
39,12.789993,0.555642,12.716567482505932,12.861193495770653,50.52925157546106
40,12.979993,0.551859,12.872877977891934,13.10089874308943,50.18523121935053
41,13.286659,0.572655,13.274267244101406,13.299766549709835,52.07638832367901
